Probability,real,muestra,r_proba
0.6641041310902049,1,train,"(0.6, 0.8]"
0.2957585778983155,0,train,"(0.2, 0.4]"
0.36318099706658213,1,train,"(0.2, 0.4]"
0.30194321372343413,0,train,"(0.2, 0.4]"
0.30044711091714404,0,train,"(0.2, 0.4]"
0.7371297245381784,0,train,"(0.6, 0.8]"
0.30830755378526165,1,train,"(0.2, 0.4]"
0.295324108860516,0,train,"(0.2, 0.4]"
0.30568975946422977,0,train,"(0.2, 0.4]"
0.3020524789285511,0,train,"(0.2, 0.4]"
0.7999670766437771,1,train,"(0.6, 0.8]"
0.29649847744901203,0,train,"(0.2, 0.4]"
0.28880420349003466,0,train,"(0.2, 0.4]"
0.3028590496740557,0,train,"(0.2, 0.4]"
0.7451057285033241,1,train,"(0.6, 0.8]"
0.3082318868259575,0,train,"(0.2, 0.4]"
0.3063855639420323,0,train,"(0.2, 0.4]"
0.3783764956945233,0,train,"(0.2, 0.4]"
0.30483013901127803,1,train,"(0.2, 0.4]"
0.2940179714583165,0,train,"(0.2, 0.4]"
0.36326345883428446,1,train,"(0.2, 0.4]"
0.3446129298557587,1,train,"(0.2, 0.4]"
0.304178304897897,0,train,"(0.2, 0.4]"
0.2987695011846999,0,train,"(0.2, 0.4]"
0.37330956145758715,1,train,"(0.2, 0.4]"
0.30350552502005745,0,train,"(0.2, 0.4]"
0.30137856564471105,0,train,"(0.2, 0.4]"
0.4438049175858167,0,train,"(0.4, 0.6]"
0.29805083686699085,0,train,"(0.2, 0.4]"
0.3634499914485459,0,train,"(0.2, 0.4]"
0.29511239252655286,0,train,"(0.2, 0.4]"
0.3061559292086131,0,train,"(0.2, 0.4]"
0.29717116435651214,1,train,"(0.2, 0.4]"
0.7602472372419921,1,train,"(0.6, 0.8]"
0.34564509998396903,0,train,"(0.2, 0.4]"
0.3012366211390752,0,train,"(0.2, 0.4]"
0.30938286307734336,1,train,"(0.2, 0.4]"
0.4655099466564272,1,train,"(0.4, 0.6]"
0.29981309574075576,0,train,"(0.2, 0.4]"
0.2970701975074832,0,train,"(0.2, 0.4]"
0.3061910915597268,0,train,"(0.2, 0.4]"
0.3013030746508407,0,train,"(0.2, 0.4]"
0.4247537871206438,0,train,"(0.4, 0.6]"
0.3044647868910253,0,train,"(0.2, 0.4]"
0.30178274831868046,1,train,"(0.2, 0.4]"
0.29531299974264197,0,train,"(0.2, 0.4]"
0.2970021426194937,0,train,"(0.2, 0.4]"
0.3109456594505569,1,train,"(0.2, 0.4]"
0.30382875250432473,1,train,"(0.2, 0.4]"
0.3035845794193016,1,train,"(0.2, 0.4]"
0.3700590634910455,1,train,"(0.2, 0.4]"
0.32980206474537876,0,train,"(0.2, 0.4]"
0.33746833585392527,0,train,"(0.2, 0.4]"
0.294705834978495,1,train,"(0.2, 0.4]"
0.47446156702965786,0,train,"(0.4, 0.6]"
0.30140400548498764,0,train,"(0.2, 0.4]"
0.3056623234912089,1,train,"(0.2, 0.4]"
0.3053842727201615,0,train,"(0.2, 0.4]"
0.29479991516802123,1,train,"(0.2, 0.4]"
0.3048728001468025,0,train,"(0.2, 0.4]"
0.3293740314255835,0,train,"(0.2, 0.4]"
0.2986223346089405,0,train,"(0.2, 0.4]"
0.3009764924141226,0,train,"(0.2, 0.4]"
0.3104018554185568,0,train,"(0.2, 0.4]"
0.296597057380718,0,train,"(0.2, 0.4]"
0.3003779977549585,0,train,"(0.2, 0.4]"
0.3068365592935198,0,train,"(0.2, 0.4]"
0.40288715494404276,0,train,"(0.4, 0.6]"
0.7119439879613196,1,train,"(0.6, 0.8]"
0.3034692657767133,1,train,"(0.2, 0.4]"
0.2975711792136203,0,train,"(0.2, 0.4]"
0.2986347601795874,0,train,"(0.2, 0.4]"
0.3077037499735276,0,train,"(0.2, 0.4]"
0.30266411954333117,0,train,"(0.2, 0.4]"
0.3236338108838256,0,train,"(0.2, 0.4]"
0.2956775964402445,1,train,"(0.2, 0.4]"
0.2985925004401402,0,train,"(0.2, 0.4]"
0.2957585778983155,0,train,"(0.2, 0.4]"
0.5187283551709979,1,train,"(0.4, 0.6]"
0.2967966358486537,0,train,"(0.2, 0.4]"
0.6917100937532585,1,train,"(0.6, 0.8]"
0.4779308230862632,1,train,"(0.4, 0.6]"
0.5103639780243001,1,train,"(0.4, 0.6]"
0.2986356219975965,1,train,"(0.2, 0.4]"
0.28691642145366086,0,train,"(0.2, 0.4]"
0.31297831156122424,0,train,"(0.2, 0.4]"
0.3880700508412603,0,train,"(0.2, 0.4]"
0.30742430378650754,0,train,"(0.2, 0.4]"
0.43702858934815847,1,train,"(0.4, 0.6]"
0.3009524083451225,1,train,"(0.2, 0.4]"
0.3297913503591344,0,train,"(0.2, 0.4]"
0.4794884431903169,1,train,"(0.4, 0.6]"
0.30442663863241337,0,train,"(0.2, 0.4]"
0.3047355636583659,1,train,"(0.2, 0.4]"
0.3104545288742424,0,train,"(0.2, 0.4]"
0.28826690085780526,0,train,"(0.2, 0.4]"
0.3182020714429667,0,train,"(0.2, 0.4]"
0.3048728001468025,1,train,"(0.2, 0.4]"
0.5269033895981341,0,train,"(0.4, 0.6]"
0.29506915686042734,0,train,"(0.2, 0.4]"
0.2982240572232392,0,train,"(0.2, 0.4]"
0.5710633162564914,0,train,"(0.4, 0.6]"
0.7317228497761699,1,train,"(0.6, 0.8]"
